group,title,description,link-1,link-2,link-3,link-4
studio-rombo,Balloon-boy,,https://francescabrillanti-max.github.io/bimbi/,https://remo1112.github.io/balloon/,,
studio-zigzag,Il_Business_del_dolore,,https://christianfoglia.github.io/Poster_Ilbusinessdeldolore_ZigZag/,,,
studio-griglia,il respiro del circo,,https://matsco01.github.io/manifesto-circo/,,,
studio-angolo,Disneyinsanity,,https://jenny0225.github.io/disney_artwork/index%202.html,,,
studio-diagonale,SIAMO ALLA FRUTTA,,https://fmatellicani-prog.github.io/posterbananadefinitivo/,,,
